iter	RMSE
0	0.9701254102
1	0.9429298362
2	0.9183466274
3	0.891665874
4	0.8686586893
5	0.8452093725
6	0.8260866691
7	0.804520647
8	0.7863247868
9	0.7668604626
10	0.7470825691
11	0.7298307907
12	0.711069825
13	0.693836907
14	0.6788124778
15	0.6617912673
16	0.6481072833
17	0.6312696854
18	0.6158590173
19	0.5980283573
20	0.5832683247
21	0.5675130634
22	0.5532788048
23	0.5388297511
24	0.5252734978
25	0.5146707175
26	0.5022512489
27	0.4894573969
28	0.4781469209
29	0.4662578908
30	0.4552387337
31	0.4464172428
32	0.4370221419
33	0.4284704869
34	0.4186028443
35	0.4081740151
36	0.3998237138
37	0.3911282117
38	0.3810908731
39	0.3727338811
40	0.3643143924
41	0.356099535
42	0.3494950746
43	0.3425973362
44	0.3339123248
45	0.3274710801
46	0.319811242
47	0.3129300867
48	0.3056911881
49	0.2988854921
50	0.2929318275
51	0.2863177908
52	0.280949047
53	0.2748795956
54	0.2696251412
55	0.2637516324
56	0.2584722853
57	0.2536434975
58	0.2486530424
59	0.2441182731
60	0.2401458272
61	0.2352021738
62	0.2307850049
63	0.2266984911
64	0.2225066037
65	0.2181207213
66	0.2143160408
67	0.2106085749
68	0.2068276329
69	0.203693627
70	0.1995294404
71	0.196433928
72	0.1930610578
73	0.1891034688
74	0.1866083469
75	0.1823020486
76	0.179135076
77	0.1762152172
78	0.1728151544
79	0.1697739335
80	0.1660704183
81	0.1628394181
82	0.1602260491
83	0.158096319
84	0.1556763671
85	0.1541120743
86	0.1510709159
87	0.1488722644
88	0.1460152768
89	0.1430267556
90	0.1406719334
91	0.1389599049
92	0.1370269707
93	0.1353168915
94	0.1332097046
95	0.130963982
96	0.1289057771
97	0.126585432
98	0.1244590334
99	0.1223069031
100	0.1205406447
101	0.1179598286
102	0.1157011916
103	0.1142024252
104	0.1130931523
105	0.1111224068
106	0.1095609812
107	0.1078290319
108	0.1065030848
109	0.1047090297
110	0.1029656858
111	0.1015831518
112	0.09984258761
113	0.09836723605
114	0.09652177312
115	0.09480695334
116	0.09306394117
117	0.09136644158
118	0.08953529402
119	0.08779191661
120	0.08637825358
121	0.08518102139
122	0.0840052205
123	0.08248370996
124	0.08092087874
125	0.07964288851
126	0.07834791992
127	0.07686642561
128	0.07522201889
129	0.07382218842
130	0.07269969117
131	0.07151236869
132	0.0701961757
133	0.06930740835
134	0.06838151745
135	0.06738187299
136	0.0664811721
137	0.06506485838
138	0.06398016602
139	0.06304181887
140	0.06233414091
141	0.06150106544
142	0.06049412711
143	0.05939566013
144	0.05880606664
145	0.0578655681
146	0.0570314008
147	0.05615740501
148	0.05550064252
149	0.0547675755
150	0.05403785709
151	0.05337684098
152	0.05281412678
153	0.05205085368
154	0.05124241096
155	0.05049856549
156	0.04976109927
157	0.04924150816
158	0.04843430281
159	0.04769636097
160	0.04703654023
161	0.0463738358
162	0.04586313032
163	0.04526764892
164	0.04478057515
165	0.04424560633
166	0.04368973655
167	0.04311101469
168	0.04262775971
169	0.04210711281
170	0.04158100035
171	0.04085693843
172	0.04037408279
173	0.03980629279
174	0.03922431532
175	0.03873404097
176	0.03831737374
177	0.03765498912
178	0.03710601148
179	0.03657295922
180	0.03614517349
181	0.03574102608
182	0.03515930476
183	0.03465967154
184	0.03413115499
185	0.03366828496
186	0.03320626779
187	0.03263951907
188	0.03223966702
189	0.03175839506
190	0.03131723387
191	0.03093052927
192	0.0305985313
193	0.03012707218
194	0.02981092473
195	0.0293163668
196	0.02896061044
197	0.02858567512
198	0.02817491754
199	0.02784038434
200	0.02743077262
201	0.02700635893
202	0.02651606961
203	0.02613406755
204	0.02577820522
205	0.02549096396
206	0.02517722606
207	0.02487319849
208	0.0243692216
209	0.02424967214
210	0.02398309054
211	0.0237163176
212	0.02335306745
213	0.02303972082
214	0.02266120076
215	0.02237637358
216	0.02210468832
217	0.02179026313
218	0.0214098535
219	0.02119918987
220	0.02097395406
221	0.02069788377
222	0.02048453279
223	0.02017861997
224	0.0199492621
225	0.01959778225
226	0.01933723457
227	0.01905523619
228	0.01882602121
229	0.01860553965
230	0.01835521237
231	0.01815444985
232	0.01784726131
233	0.01760965199
234	0.01731313498
235	0.01701203128
236	0.01679431839
237	0.01657774388
238	0.01634805025
239	0.0161321931
240	0.01597080978
241	0.01574348575
242	0.01556320834
243	0.01528859441
244	0.01506795569
245	0.01488883887
246	0.01471048776
247	0.01447830183
248	0.01431024438
249	0.0141636362
250	0.01393848002
251	0.01374690164
252	0.01360723459
253	0.01346326128
254	0.01331910512
255	0.01306456584
256	0.01287174573
257	0.01267585116
258	0.01248587931
259	0.0123555743
260	0.01223557127
261	0.01204147452
262	0.01191830753
263	0.01180826136
264	0.0116506742
265	0.01149967677
266	0.01131980354
267	0.01112571642
268	0.01094091662
269	0.01083476062
270	0.01067706294
271	0.01051322589
272	0.01039272696
273	0.0101972273
274	0.01005765712
275	0.009922917829
276	0.009779822299
277	0.009690642352
278	0.009572529421
279	0.009457624617
280	0.009355186079
281	0.009265679778
282	0.009103679184
283	0.00898189019
284	0.008895477943
285	0.00881138025
